2020-12-26 14:55:34-0500 -- INFO: (MainThread) Module: logger | Function: __init__ | Message: Initialized logging module
2020-12-26 14:56:20-0500 -- DEBUG: (Telescope-Th) Module: hardware | Function: run | Message: Telescope thread is alive
2020-12-26 14:56:21-0500 -- DEBUG: (Guider-Th ) Module: hardware | Function: run | Message: Guider thread is alive
2020-12-26 14:56:21-0500 -- DEBUG: (MainThread) Module: hardware | Function: onThread | Message: A class method has been put on the Camera queue
2020-12-26 14:56:21-0500 -- DEBUG: (MainThread) Module: hardware | Function: onThread | Message: A class method has been put on the Dome queue
2020-12-26 14:56:21-0500 -- DEBUG: (Dome-Th   ) Module: hardware | Function: run | Message: Dome thread is alive
2020-12-26 14:56:21-0500 -- DEBUG: (Dome-Th   ) Module: hardware | Function: run | Message: <bound method Dome.shutter_position of <Dome(Dome-Th, started daemon 13408)>> has been run on the Dome thread
2020-12-26 14:56:21-0500 -- DEBUG: (Dome-Th   ) Module: hardware | Function: run | Message: Dome thread is alive
2020-12-26 14:56:21-0500 -- DEBUG: (Camera-Th ) Module: hardware | Function: run | Message: Camera thread is alive
2020-12-26 14:56:21-0500 -- DEBUG: (Camera-Th ) Module: hardware | Function: run | Message: <bound method Camera.cooler_set of <Camera(Camera-Th, started daemon 9584)>> has been run on the Camera thread
2020-12-26 14:56:21-0500 -- DEBUG: (Camera-Th ) Module: hardware | Function: run | Message: Camera thread is alive
2020-12-26 14:56:21-0500 -- DEBUG: (Telescope-Th) Module: hardware | Function: run | Message: Telescope thread is alive
2020-12-26 14:56:22-0500 -- DEBUG: (Guider-Th ) Module: hardware | Function: run | Message: Guider thread is alive
2020-12-26 14:56:22-0500 -- DEBUG: (Dome-Th   ) Module: hardware | Function: run | Message: Dome thread is alive
2020-12-26 14:56:22-0500 -- DEBUG: (Camera-Th ) Module: hardware | Function: run | Message: Camera thread is alive
2020-12-26 14:56:22-0500 -- DEBUG: (Telescope-Th) Module: hardware | Function: run | Message: Telescope thread is alive
2020-12-26 14:56:23-0500 -- DEBUG: (Guider-Th ) Module: hardware | Function: run | Message: Guider thread is alive
2020-12-26 14:56:23-0500 -- DEBUG: (MainThread) Module: hardware | Function: onThread | Message: A class method has been put on the Dome queue
2020-12-26 14:56:23-0500 -- DEBUG: (MainThread) Module: hardware | Function: onThread | Message: A class method has been put on the Dome queue
2020-12-26 14:56:23-0500 -- DEBUG: (MainThread) Module: hardware | Function: onThread | Message: A class method has been put on the Telescope queue
2020-12-26 14:56:23-0500 -- DEBUG: (MainThread) Module: hardware | Function: onThread | Message: A class method has been put on the Camera queue
2020-12-26 14:56:23-0500 -- DEBUG: (MainThread) Module: hardware | Function: onThread | Message: A class method has been put on the Dome queue
2020-12-26 14:56:23-0500 -- DEBUG: (Dome-Th   ) Module: hardware | Function: run | Message: Dome thread is alive
2020-12-26 14:56:23-0500 -- DEBUG: (MainThread) Module: time_utils | Function: datetime_to_epoch_milli_converter | Message: Called time_utils function
2020-12-26 14:56:23-0500 -- DEBUG: (MainThread) Module: time_utils | Function: datetime_to_epoch_milli_converter | Message: Called time_utils function
2020-12-26 14:56:23-0500 -- DEBUG: (Camera-Th ) Module: hardware | Function: run | Message: Camera thread is alive
2020-12-26 14:56:23-0500 -- DEBUG: (Telescope-Th) Module: hardware | Function: run | Message: Telescope thread is alive
2020-12-26 14:56:24-0500 -- DEBUG: (Telescope-Th) Module: hardware | Function: run | Message: <bound method Telescope.unpark of <Telescope(Telescope-Th, started daemon 13156)>> has been run on the Telescope thread
2020-12-26 14:56:24-0500 -- DEBUG: (Telescope-Th) Module: hardware | Function: run | Message: Telescope thread is alive
2020-12-26 14:56:24-0500 -- DEBUG: (Guider-Th ) Module: hardware | Function: run | Message: Guider thread is alive
2020-12-26 14:56:24-0500 -- DEBUG: (Camera-Th ) Module: hardware | Function: run | Message: <bound method Camera.cooler_ready of <Camera(Camera-Th, started daemon 9584)>> has been run on the Camera thread
2020-12-26 14:56:24-0500 -- DEBUG: (Camera-Th ) Module: hardware | Function: run | Message: Camera thread is alive
2020-12-26 14:56:25-0500 -- DEBUG: (Telescope-Th) Module: hardware | Function: run | Message: Telescope thread is alive
2020-12-26 14:56:25-0500 -- DEBUG: (Guider-Th ) Module: hardware | Function: run | Message: Guider thread is alive
2020-12-26 14:56:25-0500 -- DEBUG: (Camera-Th ) Module: hardware | Function: run | Message: Camera thread is alive
2020-12-26 14:56:26-0500 -- DEBUG: (Telescope-Th) Module: hardware | Function: run | Message: Telescope thread is alive
2020-12-26 14:56:26-0500 -- DEBUG: (Guider-Th ) Module: hardware | Function: run | Message: Guider thread is alive
2020-12-26 14:56:26-0500 -- DEBUG: (Camera-Th ) Module: hardware | Function: run | Message: Camera thread is alive
2020-12-26 14:56:27-0500 -- DEBUG: (Telescope-Th) Module: hardware | Function: run | Message: Telescope thread is alive
2020-12-26 14:56:27-0500 -- DEBUG: (Guider-Th ) Module: hardware | Function: run | Message: Guider thread is alive
2020-12-26 14:56:27-0500 -- DEBUG: (Camera-Th ) Module: hardware | Function: run | Message: Camera thread is alive
2020-12-26 14:56:28-0500 -- DEBUG: (Telescope-Th) Module: hardware | Function: run | Message: Telescope thread is alive
2020-12-26 14:56:28-0500 -- DEBUG: (Guider-Th ) Module: hardware | Function: run | Message: Guider thread is alive
